2021/10/14 14:29:29 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:29:30 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:29:31 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:29:32 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:29:34 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:29:36 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:29:40 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:29:47 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:30:00 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:30:34 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:30:35 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:30:36 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:30:37 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:30:38 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:30:41 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:30:45 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:30:52 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:31:05 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
2021/10/14 14:31:31 [emerg] 1#1: unexpected end of file, expecting ";" or "}" in /etc/nginx/sites-enabled/nginx-app.conf:25
